"";"RecordNo";"Województwo";"RQ2";"Q4";"Q5";"Q6";"Q2";"company";"recomendation";"Age";"recomendations"
"27";1221;"kujawsko-pomorskie";">25";1987;"Średnie technicznezne";"agronom ekspert";18;"Acme";5;"31-35";"detractors"
"28";1223;"kujawsko-pomorskie";"100-250";1970;"Średnie technicznezne";"właściciel";250;"Acme";6;"51<";"detractors"
"29";1230;"kujawsko-pomorskie";">25";1984;"Średnie ogólne";"agronom ekspert";21;"Acme";9;"36-40";"promoters"
"30";1233;"kujawsko-pomorskie";"250+";1973;"Średnie technicznezne";"właściciel";534;"Acme";6;"46-50";"detractors"
"31";1234;"kujawsko-pomorskie";"100-250";1973;"Wyższe";"główny agronom";120;"Acme";9;"46-50";"promoters"
"32";1236;"kujawsko-pomorskie";"51-100";1967;"Średnie ogólne";"właściciel";100;"Acme";10;"51<";"promoters"
"33";1241;"kujawsko-pomorskie";"100-250";1972;"Średnie ogólne";"właściciel";135;"Acme";3;"46-50";"detractors"
"34";1242;"kujawsko-pomorskie";"250+";1945;"Średnie technicznezne";"właściciel";448;"Acme";10;"51<";"promoters"
"35";1251;"kujawsko-pomorskie";"250+";1979;"Średnie ogólne";"agronom ekspert";1280;"Acme";2;"41-45";"detractors"
"36";1253;"kujawsko-pomorskie";">25";1998;"Średnie technicznezne";"główny agronom";5;"Acme";10;"<=25";"promoters"
"37";1256;"lubelskie";"100-250";1999;"Średnie ogólne";"dyrektor";150,01;"Acme";10;"<=25";"promoters"
"38";1261;"lubelskie";"25-50";1960;"Średnie technicznezne";"właściciel";50;"Acme";9;"51<";"promoters"
"39";1271;"lubelskie";">25";1972;"Średnie ogólne";"techniczny";10;"Acme";6;"46-50";"detractors"
"40";1272;"lubelskie";"25-50";1979;"Wyższe";"agronom ekspert";40;"Acme";2;"41-45";"detractors"
"41";1279;"lubelskie";"250+";1986;"Średnie ogólne";"właściciel";700,1;"Acme";5;"31-35";"detractors"
"42";1280;"lubelskie";"51-100";1975;"Średnie ogólne";"agronom ekspert";68;"Acme";7;"46-50";"neutral"
"43";1282;"lubelskie";"250+";1983;"Średnie ogólne";"właściciel";330;"Acme";9;"36-40";"promoters"
"44";1286;"lubelskie";"25-50";1956;"Średnie ogólne";"główny agronom";50;"Acme";4;"51<";"detractors"
"45";1287;"lubelskie";"100-250";1974;"Średnie technicznezne";"techniczny";121;"Acme";7;"46-50";"neutral"
"46";1288;"lubelskie";">25";1977;"Średnie technicznezne";"właściciel";6;"Acme";6;"41-45";"detractors"
"47";1291;"lubelskie";"250+";1963;"Średnie ogólne";"właściciel";500;"Acme";1;"51<";"detractors"
"48";1292;"lubelskie";"100-250";1964;"Średnie technicznezne";"właściciel";125;"Acme";1;"51<";"detractors"
"49";1293;"lubelskie";"250+";1994;"Średnie ogólne";"dyrektor";420;"Acme";6;"26-30";"detractors"
"50";1294;"lubuskie";"25-50";1990;"Średnie ogólne";"główny agronom";27;"Acme";10;"31-35";"promoters"
"51";1295;"lubuskie";"100-250";1985;"Średnie ogólne";"właściciel";180;"Acme";2;"36-40";"detractors"
"52";1301;"lubuskie";"250+";1988;"Średnie ogólne";"właściciel";315;"Acme";10;"31-35";"promoters"
"53";1304;"lubuskie";"25-50";1984;"Średnie ogólne";"właściciel";35;"Acme";4;"36-40";"detractors"
"54";1311;"lubuskie";"100-250";1989;"Średnie technicznezne";"właściciel";126;"Acme";2;"31-35";"detractors"
"55";1316;"lubuskie";"100-250";1960;"Średnie ogólne";"właściciel";156,01;"Acme";4;"51<";"detractors"
"56";1319;"lubuskie";"100-250";1968;"Średnie ogólne";"agronom ekspert";130;"Acme";9;"51<";"promoters"
"57";1322;"lubuskie";"51-100";1959;"Średnie technicznezne";"właściciel";65;"Acme";8;"51<";"neutral"
"58";1323;"lubuskie";"100-250";1991;"Średnie ogólne";"właściciel";170;"Acme";8;"26-30";"neutral"
"59";1327;"lubuskie";"25-50";1961;"Średnie ogólne";"główny agronom";31;"Acme";9;"51<";"promoters"
"60";1329;"lubuskie";"25-50";1987;"Wyższe";"właściciel";50;"Acme";6;"31-35";"detractors"
"61";1336;"lubuskie";">25";1994;"Średnie ogólne";"właściciel";7;"Acme";10;"26-30";"promoters"
"62";1339;"lubuskie";">25";1964;"Średnie ogólne";"główny agronom";8;"Acme";10;"51<";"promoters"
"63";1342;"lubuskie";">25";1955;"Średnie ogólne";"właściciel";5;"Acme";3;"51<";"detractors"
"64";1344;"lubuskie";"250+";1980;"Średnie ogólne";"główny agronom";450,1;"Acme";7;"41-45";"neutral"
"65";1356;"lubuskie";"51-100";1957;"Średnie ogólne";"dyrektor";100;"Acme";7;"51<";"neutral"
"66";1357;"lubuskie";"51-100";1968;"Średnie ogólne";"dyrektor";55;"Acme";9;"51<";"promoters"
"67";1358;"łódzkie";"100-250";1966;"Średnie technicznezne";"dyrektor";200;"Acme";3;"51<";"detractors"
"68";1360;"łódzkie";"250+";1962;"Średnie ogólne";"właściciel";406;"Acme";1;"51<";"detractors"
"69";1364;"łódzkie";"51-100";1976;"Średnie ogólne";"właściciel";100;"Acme";7;"41-45";"neutral"
"70";1368;"łódzkie";">25";1971;"Średnie technicznezne";"techniczny";22;"Acme";8;"46-50";"neutral"
"71";1371;"łódzkie";"25-50";1973;"Średnie ogólne";"techniczny";45;"Acme";10;"46-50";"promoters"
"72";1375;"łódzkie";">25";1984;"Średnie ogólne";"dyrektor";22,55;"Acme";5;"36-40";"detractors"
"73";1377;"łódzkie";">25";1966;"Średnie ogólne";"dyrektor";10;"Acme";10;"51<";"promoters"
"74";1382;"łódzkie";">25";1971;"Średnie ogólne";"techniczny";7;"Acme";8;"46-50";"neutral"
"75";1387;"małopolskie";">25";1995;"Średnie ogólne";"właściciel";25;"Acme";10;"26-30";"promoters"
"76";1388;"małopolskie";"51-100";1960;"Średnie ogólne";"techniczny";70;"Acme";9;"51<";"promoters"
"77";1393;"małopolskie";">25";1976;"Wyższe rolnicze";"właściciel";20;"Acme";9;"41-45";"promoters"
"78";1397;"małopolskie";"250+";1965;"Wyższe";"główny agronom";670;"Acme";3;"51<";"detractors"
"79";1399;"małopolskie";"100-250";1984;"Średnie ogólne";"właściciel";105;"Acme";10;"36-40";"promoters"
"80";1403;"małopolskie";"250+";1983;"Średnie ogólne";"właściciel";1100;"Acme";2;"36-40";"detractors"
"81";1404;"małopolskie";">25";1966;"Średnie ogólne";"właściciel";6;"Acme";6;"51<";"detractors"
"82";1406;"mazowieckie";"250+";1958;"Średnie ogólne";"agronom ekspert";270;"Acme";7;"51<";"neutral"
"83";1410;"mazowieckie";">25";1975;"Średnie ogólne";"właściciel";25;"Acme";9;"46-50";"promoters"
"84";1412;"mazowieckie";"250+";1961;"Średnie ogólne";"agronom ekspert";290;"Acme";9;"51<";"promoters"
"85";1413;"mazowieckie";"100-250";1961;"Średnie ogólne";"agronom ekspert";167;"Acme";8;"51<";"neutral"
"86";1415;"mazowieckie";"51-100";1966;"Średnie ogólne";"agronom ekspert";67;"Acme";7;"51<";"neutral"
"87";1419;"mazowieckie";">25";1975;"Średnie ogólne";"agronom ekspert";10;"Acme";9;"46-50";"promoters"
"88";1424;"mazowieckie";"250+";1970;"Średnie ogólne";"właściciel";1350;"Acme";5;"51<";"detractors"
"89";1430;"mazowieckie";"250+";1971;"Średnie ogólne";"techniczny";3500;"Acme";8;"46-50";"neutral"
"90";1438;"mazowieckie";"100-250";1981;"Średnie technicznezne";"główny agronom";200;"Acme";7;"36-40";"neutral"
"91";1439;"mazowieckie";"25-50";1969;"Średnie technicznezne";"agronom ekspert";35,6;"Acme";1;"51<";"detractors"
"92";1440;"mazowieckie";"100-250";1982;"Średnie ogólne";"agronom ekspert";100,1;"Acme";8;"36-40";"neutral"
"93";1442;"mazowieckie";"250+";1978;"Średnie ogólne";"techniczny";500;"Acme";4;"41-45";"detractors"
"94";1450;"mazowieckie";">25";1972;"Średnie ogólne";"agronom ekspert";20;"Acme";2;"46-50";"detractors"
"95";1451;"mazowieckie";"51-100";1983;"Średnie technicznezne";"główny agronom";100;"Acme";9;"36-40";"promoters"
"96";1458;"mazowieckie";"250+";1981;"Średnie ogólne";"techniczny";950;"Acme";9;"36-40";"promoters"
"97";1462;"mazowieckie";">25";1975;"Średnie ogólne";"dyrektor";5;"Acme";2;"46-50";"detractors"
"98";1469;"mazowieckie";">25";1971;"Średnie ogólne";"właściciel";23,5;"Acme";5;"46-50";"detractors"
"99";1475;"mazowieckie";"100-250";1977;"Średnie technicznezne";"agronom ekspert";220;"Acme";9;"41-45";"promoters"
"100";1476;"mazowieckie";"250+";1966;"Średnie ogólne";"główny agronom";1000;"Acme";7;"51<";"neutral"
"101";1477;"mazowieckie";">25";1976;"Średnie ogólne";"główny agronom";5;"Acme";10;"41-45";"promoters"
"102";1485;"mazowieckie";"25-50";1982;"Średnie technicznezne";"agronom ekspert";28;"Acme";9;"36-40";"promoters"
"103";1486;"mazowieckie";"250+";1987;"Średnie ogólne";"właściciel";1000;"Acme";9;"31-35";"promoters"
"104";1488;"mazowieckie";"100-250";1962;"Średnie ogólne";"właściciel";123;"Acme";3;"51<";"detractors"
"105";1490;"mazowieckie";"100-250";1973;"Średnie technicznezne";"techniczny";110;"Acme";8;"46-50";"neutral"
"106";1491;"opolskie";"51-100";1968;"Średnie ogólne";"właściciel";100;"Acme";9;"51<";"promoters"
"107";1501;"opolskie";"100-250";1966;"Średnie ogólne";"techniczny";154;"Acme";9;"51<";"promoters"
"108";1503;"opolskie";"51-100";1967;"Średnie ogólne";"agronom ekspert";90;"Acme";6;"51<";"detractors"
"109";1504;"opolskie";"100-250";1967;"Średnie ogólne";"główny agronom";103;"Acme";8;"51<";"neutral"
"110";1508;"opolskie";"100-250";1976;"Średnie ogólne";"agronom ekspert";165;"Acme";6;"41-45";"detractors"
"111";1514;"opolskie";"25-50";1989;"Średnie ogólne";"właściciel";30,5;"Acme";10;"31-35";"promoters"
"112";1525;"opolskie";"25-50";1936;"Średnie ogólne";"właściciel";50;"Acme";9;"51<";"promoters"
"113";1529;"opolskie";"100-250";1966;"Średnie ogólne";"główny agronom";210;"Acme";10;"51<";"promoters"
"114";1531;"opolskie";"100-250";1981;"Średnie ogólne";"właściciel";101;"Acme";9;"36-40";"promoters"
"115";1540;"opolskie";"250+";1954;"Średnie ogólne";"właściciel";370;"Acme";5;"51<";"detractors"
"116";1543;"podkarpackie";"100-250";1979;"Wyższe";"główny agronom";200;"Acme";6;"41-45";"detractors"
"117";1545;"podkarpackie";">25";1971;"Średnie ogólne";"właściciel";10;"Acme";5;"46-50";"detractors"
"118";1546;"podkarpackie";"25-50";1964;"Średnie ogólne";"główny agronom";48;"Acme";3;"51<";"detractors"
"119";1548;"podkarpackie";"100-250";1982;"Średnie ogólne";"techniczny";138;"Acme";2;"36-40";"detractors"
"120";1562;"podkarpackie";">25";1988;"Średnie technicznezne";"właściciel";8;"Acme";10;"31-35";"promoters"
"121";1567;"podkarpackie";">25";1992;"Średnie ogólne";"właściciel";8;"Acme";9;"26-30";"promoters"
"122";1575;"podkarpackie";"250+";1975;"Średnie ogólne";"dyrektor";550;"Acme";10;"46-50";"promoters"
"123";1578;"podkarpackie";"250+";1960;"Średnie ogólne";"właściciel";460;"Acme";8;"51<";"neutral"
"124";1581;"podkarpackie";"100-250";1971;"Średnie ogólne";"właściciel";124;"Acme";10;"46-50";"promoters"
"125";1583;"podkarpackie";"51-100";1983;"Średnie ogólne";"główny agronom";65,1;"Acme";10;"36-40";"promoters"
"126";1588;"podlaskie";">25";1986;"Średnie ogólne";"agronom ekspert";8;"Acme";9;"31-35";"promoters"
"127";1589;"podlaskie";"51-100";1978;"Średnie ogólne";"właściciel";75;"Acme";7;"41-45";"neutral"
"128";1591;"podlaskie";"51-100";1990;"Średnie ogólne";"właściciel";56;"Acme";6;"31-35";"detractors"
"129";1593;"podlaskie";"51-100";1980;"Średnie ogólne";"agronom ekspert";55,33;"Acme";9;"41-45";"promoters"
"130";1594;"podlaskie";"250+";1971;"Średnie ogólne";"dyrektor";600;"Acme";6;"46-50";"detractors"
"131";1599;"podlaskie";"250+";1988;"Średnie ogólne";"techniczny";2774;"Acme";2;"31-35";"detractors"
"132";1604;"podlaskie";"51-100";1962;"Średnie ogólne";"agronom ekspert";100;"Acme";9;"51<";"promoters"
"133";1605;"podlaskie";"51-100";1956;"Średnie ogólne";"agronom ekspert";85;"Acme";9;"51<";"promoters"
"134";1612;"podlaskie";"51-100";1958;"Średnie ogólne";"główny agronom";62;"Acme";8;"51<";"neutral"
"135";1615;"podlaskie";"250+";1977;"Średnie ogólne";"właściciel";321;"Acme";10;"41-45";"promoters"
"136";1626;"podlaskie";"25-50";1965;"Średnie ogólne";"właściciel";36;"Acme";8;"51<";"neutral"
"137";1629;"podlaskie";"250+";1974;"Średnie ogólne";"główny agronom";600,01;"Acme";10;"46-50";"promoters"
"138";1633;"podlaskie";">25";1984;"Średnie ogólne";"właściciel";10;"Acme";4;"36-40";"detractors"
"139";1634;"pomorskie";">25";1997;"Średnie ogólne";"agronom ekspert";15;"Acme";6;"<=25";"detractors"
"140";1638;"pomorskie";"100-250";1987;"Średnie ogólne";"właściciel";118,22;"Acme";4;"31-35";"detractors"
"141";1642;"pomorskie";">25";1974;"Średnie ogólne";"agronom ekspert";7,01;"Acme";5;"46-50";"detractors"
"142";1649;"pomorskie";"51-100";1989;"Średnie ogólne";"właściciel";53;"Acme";3;"31-35";"detractors"
"143";1651;"pomorskie";">25";1998;"Średnie ogólne";"agronom ekspert";20;"Acme";10;"<=25";"promoters"
"144";1653;"pomorskie";"25-50";1971;"Średnie technicznezne";"właściciel";38;"Acme";10;"46-50";"promoters"
"145";1654;"pomorskie";"100-250";1968;"Średnie ogólne";"właściciel";230;"Acme";4;"51<";"detractors"
"146";1655;"pomorskie";">25";1975;"Wyższe rolnicze";"właściciel";10;"Acme";7;"46-50";"neutral"
"147";1660;"śląskie";"51-100";1951;"Średnie ogólne";"właściciel";69;"Acme";10;"51<";"promoters"
"148";1664;"śląskie";"25-50";1966;"Średnie ogólne";"właściciel";43;"Acme";1;"51<";"detractors"
"149";1665;"śląskie";"100-250";1968;"Średnie ogólne";"właściciel";200;"Acme";7;"51<";"neutral"
"150";1666;"śląskie";"25-50";1965;"Średnie ogólne";"agronom ekspert";42;"Acme";9;"51<";"promoters"
"151";1672;"świętokrzyskie";"250+";1955;"Średnie ogólne";"właściciel";300;"Acme";10;"51<";"promoters"
"152";1674;"świętokrzyskie";"51-100";1977;"Średnie ogólne";"główny agronom";100;"Acme";1;"41-45";"detractors"
"153";1686;"świętokrzyskie";"51-100";1985;"Średnie ogólne";"właściciel";60;"Acme";8;"36-40";"neutral"
"154";1692;"świętokrzyskie";"51-100";1966;"Średnie ogólne";"właściciel";80;"Acme";5;"51<";"detractors"
"155";1694;"świętokrzyskie";"250+";1993;"Średnie ogólne";"agronom ekspert";557;"Acme";9;"26-30";"promoters"
"156";1697;"warmińsko-mazurskie";"100-250";1962;"Średnie ogólne";"agronom ekspert";141;"Acme";3;"51<";"detractors"
"157";1705;"warmińsko-mazurskie";"25-50";1986;"Średnie ogólne";"dyrektor";32;"Acme";9;"31-35";"promoters"
"158";1710;"warmińsko-mazurskie";"51-100";1964;"Średnie ogólne";"agronom ekspert";86;"Acme";4;"51<";"detractors"
"159";1712;"warmińsko-mazurskie";">25";1985;"Średnie ogólne";"agronom ekspert";25;"Acme";9;"36-40";"promoters"
"160";1716;"warmińsko-mazurskie";"100-250";1991;"Średnie ogólne";"techniczny";102;"Acme";10;"26-30";"promoters"
"161";1717;"warmińsko-mazurskie";"51-100";1996;"Średnie ogólne";"techniczny";51;"Acme";4;"<=25";"detractors"
"162";1718;"wielkopolskie";">25";1984;"Średnie ogólne";"agronom ekspert";25;"Acme";10;"36-40";"promoters"
"163";1719;"wielkopolskie";"250+";1999;"Średnie ogólne";"techniczny";500;"Acme";9;"<=25";"promoters"
"164";1724;"wielkopolskie";"250+";1994;"Średnie ogólne";"właściciel";460,1;"Acme";7;"26-30";"neutral"
"165";1725;"wielkopolskie";"250+";1981;"Średnie ogólne";"agronom ekspert";310;"Acme";6;"36-40";"detractors"
"166";1729;"wielkopolskie";"250+";1997;"Średnie ogólne";"techniczny";450;"Acme";8;"<=25";"neutral"
"167";1733;"wielkopolskie";"25-50";1981;"Średnie ogólne";"techniczny";50;"Acme";9;"36-40";"promoters"
"168";1734;"wielkopolskie";"250+";1996;"Średnie ogólne";"główny agronom";409;"Acme";10;"<=25";"promoters"
"169";1739;"wielkopolskie";"51-100";1994;"Średnie ogólne";"główny agronom";65,5;"Acme";1;"26-30";"detractors"
"170";1740;"wielkopolskie";"100-250";1980;"Średnie ogólne";"główny agronom";163;"Acme";10;"41-45";"promoters"
"171";1746;"wielkopolskie";"100-250";1986;"Średnie ogólne";"właściciel";136;"Acme";9;"31-35";"promoters"
"172";1749;"wielkopolskie";"250+";1986;"Średnie ogólne";"agronom ekspert";1200;"Acme";9;"31-35";"promoters"
"173";1752;"wielkopolskie";"250+";1982;"Średnie ogólne";"agronom ekspert";800;"Acme";10;"36-40";"promoters"
"174";1754;"wielkopolskie";"51-100";1985;"Średnie ogólne";"techniczny";100;"Acme";10;"36-40";"promoters"
"175";1763;"wielkopolskie";"250+";1990;"Średnie ogólne";"techniczny";300;"Acme";5;"31-35";"detractors"
"176";1767;"wielkopolskie";"100-250";1986;"Średnie ogólne";"techniczny";146;"Acme";9;"31-35";"promoters"
"177";1771;"wielkopolskie";"51-100";1981;"Średnie ogólne";"agronom ekspert";100;"Acme";4;"36-40";"detractors"
"178";1777;"wielkopolskie";"250+";1988;"Średnie ogólne";"główny agronom";360;"Acme";10;"31-35";"promoters"
"179";1783;"wielkopolskie";">25";1977;"Średnie ogólne";"główny agronom";21,5;"Acme";6;"41-45";"detractors"
"180";1792;"wielkopolskie";"250+";1997;"Wyższe";"techniczny";300;"Acme";7;"<=25";"neutral"
"181";1799;"wielkopolskie";">25";1979;"Średnie ogólne";"właściciel";5;"Acme";8;"41-45";"neutral"
"182";1800;"wielkopolskie";">25";1992;"Średnie ogólne";"dyrektor";24;"Acme";9;"26-30";"promoters"
"183";1824;"wielkopolskie";"100-250";1983;"Średnie ogólne";"agronom ekspert";160;"Acme";9;"36-40";"promoters"
"184";1828;"wielkopolskie";"100-250";1990;"Średnie technicznezne";"techniczny";118;"Acme";9;"31-35";"promoters"
"185";1838;"wielkopolskie";"100-250";1974;"Wyższe rolnicze";"główny agronom";250;"Acme";8;"46-50";"neutral"
"186";1846;"wielkopolskie";"51-100";1979;"Średnie ogólne";"techniczny";83;"Acme";1;"41-45";"detractors"
"187";1851;"wielkopolskie";"250+";1966;"Średnie ogólne";"techniczny";500;"Acme";10;"51<";"promoters"
"188";1860;"wielkopolskie";">25";1987;"Średnie ogólne";"główny agronom";10;"Acme";10;"31-35";"promoters"
"189";1863;"wielkopolskie";">25";1998;"Średnie ogólne";"techniczny";20;"Acme";9;"<=25";"promoters"
"190";1866;"wielkopolskie";">25";1994;"Średnie ogólne";"techniczny";20;"Acme";9;"26-30";"promoters"
"191";1869;"wielkopolskie";"100-250";1972;"Średnie ogólne";"główny agronom";175;"Acme";8;"46-50";"neutral"
"192";1870;"wielkopolskie";"100-250";1997;"Średnie ogólne";"techniczny";111;"Acme";8;"<=25";"neutral"
"193";1873;"wielkopolskie";"25-50";1986;"Średnie ogólne";"techniczny";29;"Acme";1;"31-35";"detractors"
"194";1909;"wielkopolskie";"100-250";1975;"Średnie ogólne";"techniczny";115;"Acme";8;"46-50";"neutral"
"195";1924;"wielkopolskie";"51-100";1995;"Średnie ogólne";"techniczny";66;"Acme";9;"26-30";"promoters"
"196";1928;"wielkopolskie";"25-50";1968;"Średnie ogólne";"główny agronom";26;"Acme";3;"51<";"detractors"
"197";1938;"zachodniopomorskie)";"51-100";1981;"Średnie technicznezne";"właściciel";87;"Acme";4;"36-40";"detractors"
"198";1945;"zachodniopomorskie)";">25";1989;"Średnie ogólne";"główny agronom";15;"Acme";3;"31-35";"detractors"
"199";1958;"zachodniopomorskie)";">25";1969;"Średnie ogólne";"dyrektor";21,4;"Acme";7;"51<";"neutral"
"200";1963;"mazowieckie";"25-50";1963;"Średnie technicznezne";"agronom ekspert";36;"Acme";1;"51<";"detractors"
"201";1966;"lubuskie";"51-100";1960;"Średnie technicznezne";"właściciel";84;"Acme";0;"51<";NA
"202";1969;"wielkopolskie";"25-50";1982;"Średnie technicznezne";"agronom ekspert";40;"Acme";4;"36-40";"detractors"
"203";1973;"kujawsko-pomorskie";"51-100";1979;"Wyższe";"główny agronom";85;"Acme";1;"41-45";"detractors"
"204";1976;"łódzkie";">25";1973;"Średnie ogólne";"agronom ekspert";18;"Acme";6;"46-50";"detractors"
"205";1977;"lubelskie";"51-100";1986;"Średnie ogólne";"właściciel";95;"Acme";3;"31-35";"detractors"
"206";1978;"pomorskie";">25";1964;"Średnie technicznezne";"właściciel";11;"Acme";1;"51<";"detractors"
"207";1983;"mazowieckie";"51-100";1966;"Średnie ogólne";"dyrektor";58;"Acme";8;"51<";"neutral"
"208";1984;"podkarpackie";"25-50";1994;"Średnie ogólne";"właściciel";39;"Acme";5;"26-30";"detractors"
"209";1987;"kujawsko-pomorskie";"250+";1968;"Średnie ogólne";"właściciel";1445;"Acme";2;"51<";"detractors"
"210";1988;"lubuskie";"25-50";1970;"Średnie ogólne";"właściciel";37;"Acme";8;"51<";"neutral"
"211";1992;"dolnośląskie";"25-50";1981;"Średnie ogólne";"techniczny";39;"Acme";8;"36-40";"neutral"
"212";1994;"wielkopolskie";">25";1977;"Średnie technicznezne";"agronom ekspert";23;"Acme";8;"41-45";"neutral"
"213";1998;"wielkopolskie";"25-50";1976;"Średnie ogólne";"agronom ekspert";37;"Acme";1;"41-45";"detractors"
"214";2001;"lubuskie";"51-100";1978;"Średnie ogólne";"techniczny";68;"Acme";1;"41-45";"detractors"
"215";2004;"wielkopolskie";"51-100";1965;"Wyższe";"główny agronom";90;"Acme";3;"51<";"detractors"
"216";2007;"wielkopolskie";">25";1970;"Średnie technicznezne";"właściciel";17;"Acme";2;"51<";"detractors"
"217";2012;"małopolskie";"25-50";1971;"Średnie ogólne";"techniczny";35;"Acme";9;"46-50";"promoters"
"218";2017;"śląskie";"51-100";1997;"Średnie ogólne";"agronom ekspert";72;"Acme";7;"<=25";"neutral"
"219";2019;"wielkopolskie";"25-50";1982;"Średnie ogólne";"agronom ekspert";41;"Acme";0;"36-40";NA
"220";2021;"lubuskie";"250+";1968;"Średnie ogólne";"właściciel";2215;"Acme";4;"51<";"detractors"
"221";2022;"wielkopolskie";">25";1969;"Średnie ogólne";"właściciel";18;"Acme";9;"51<";"promoters"
"222";2023;"lubuskie";"51-100";1982;"Średnie ogólne";"techniczny";73;"Acme";4;"36-40";"detractors"
"223";2025;"pomorskie";"25-50";1973;"Średnie ogólne";"techniczny";46;"Acme";4;"46-50";"detractors"
"224";2029;"dolnośląskie";"51-100";1986;"Średnie ogólne";"właściciel";99;"Acme";4;"31-35";"detractors"
"225";2033;"kujawsko-pomorskie";">25";1971;"Średnie technicznezne";"techniczny";10;"Acme";9;"46-50";"promoters"
"226";2037;"wielkopolskie";"51-100";1997;"Średnie ogólne";"techniczny";87;"Acme";4;"<=25";"detractors"
"227";2040;"pomorskie";">25";1983;"Średnie ogólne";"agronom ekspert";12;"Acme";10;"36-40";"promoters"
"228";2045;"podlaskie";"51-100";1980;"Średnie ogólne";"główny agronom";98;"Acme";8;"41-45";"neutral"
"229";2049;"świętokrzyskie";"250+";1984;"Średnie ogólne";"dyrektor";2352;"Acme";7;"36-40";"neutral"
"230";2051;"śląskie";"51-100";1984;"Średnie ogólne";"właściciel";60;"Acme";2;"36-40";"detractors"
"231";2054;"opolskie";"51-100";1969;"Średnie technicznezne";"główny agronom";75;"Acme";7;"51<";"neutral"
"232";2056;"lubelskie";"25-50";1955;"Średnie ogólne";"właściciel";37;"Acme";8;"51<";"neutral"
"233";2058;"zachodniopomorskie)";"51-100";1988;"Średnie ogólne";"główny agronom";98;"Acme";10;"31-35";"promoters"
"234";2059;"podlaskie";"51-100";1975;"Średnie ogólne";"agronom ekspert";72;"Acme";10;"46-50";"promoters"
"235";2060;"lubuskie";"100-250";1964;"Średnie technicznezne";"właściciel";160;"Acme";1;"51<";"detractors"
"236";2063;"łódzkie";"51-100";1983;"Średnie technicznezne";"główny agronom";83;"Acme";5;"36-40";"detractors"
