RecordNo;Wartość.tegoroczna;Wartość.przyszłoroczna;kraj;uprawa
2065;8,681534113;6,268566903;Polska;Rzepak
2074;4,773714744;0;Polska;Rzepak
2081;12,10775274;12,10775274;Polska;Rzepak
2082;9,104736511;11,38021592;Polska;Rzepak
2089;9,656857372;9,656857372;Polska;Rzepak
2095;6,146246467;4,55341088;Polska;Rzepak
2104;5,684561464;6,822301169;Polska;Rzepak
2113;8,191917641;8,419465582;Polska;Rzepak
2121;6,376308186;7,058952009;Polska;Rzepak
2123;4,822826875;4,822826875;Polska;Rzepak
